# Figure 1 of Tatsuuma et al. (2024)
# We cited Table 1 of Carry (2012), but excluded some data with large errors that exceed the density values
# Diameter(km) Diameter_error(km) density(g/cm^3) density_error(g/cm^3)
139.69 	 3.4 	 2.09 	 0.47000000000000003
298.28 	 11.92 	 2.43 	 0.79
69.84 	 4.38 	 8.01 	 7.6
217.49 	 5.1 	 2.12 	 0.53
155.17 	 3.5300000000000002 	 13.36 	 2.59
96.46 	 1.6800000000000002 	 1.4 	 0.15
51.78 	 2.15 	 11.31 	 8.06
127.95 	 2.86 	 9.29 	 0.76
64.42 	 3.01 	 10.35 	 2.46
143.14 	 8.37 	 0.88 	 0.17
226.68 	 15.15 	 1.63 	 0.32
96.84 	 4.67 	 6.8100000000000005 	 2.9
127.83 	 5.23 	 1.23 	 0.19
52.71 	 0.72 	 9.1 	 5.2
67.66 	 0.9400000000000001 	 73.99 	 15.05
64.88 	 3.64 	 4.99 	 1.62
84.69 	 1.71 	 8.45 	 0.52
146.21 	 11.02 	 7.8100000000000005 	 1.77
191.65 	 8.22 	 1.6400000000000001 	 0.99
317.19 	 4.65 	 1.96 	 0.28
34.64 	 1.81 	 2.74 	 0.56
72.27 	 2.22 	 10.87 	 3.56
105.53 	 1.6800000000000002 	 1.88 	 1.74
170.07 	 6.7 	 1.47 	 0.87
107.31 	 1.48 	 5.05 	 0.92
87.08 	 1.31 	 2.69 	 0.26
70.82 	 0.92 	 7.15 	 7.1
138.4 	 5.96 	 1.0 	 0.14
106.27 	 4.02 	 10.03 	 1.52
82.52 	 7.18 	 12.7 	 3.49
160.98 	 11.16 	 2.09 	 0.45
148.25 	 4.08 	 2.93 	 1.06
10.26 	 0.07 	 1.6400000000000001 	 0.1
8.39 	 1.27 	 0.88 	 0.13
148.43 	 5.02 	 5.76 	 3.58
81.27 	 5.34 	 8.36 	 1.85
63.56 	 4.01 	 12.86 	 5.19
99.77 	 2.46 	 9.17 	 1.46
99.27 	 3.27 	 10.03 	 1.02
13.44 	 0.61 	 2.52 	 0.29
70.98 	 2.42 	 9.66 	 1.45
13.93 	 0.64 	 1.21 	 0.14
42.99 	 2.86 	 0.9500000000000001 	 0.27
30.6 	 1.4100000000000001 	 450.51 	 220.97
5.15 	 0.08 	 2.59 	 0.2
15.78 	 1.9100000000000001 	 0.9 	 0.1
